src/serve/acp-http/transport.test.ts(2926,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(2957,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(2979,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3009,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3029,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3049,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3075,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3104,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3179,34): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3204,38): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3259,34): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3269,38): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3333,34): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3343,44): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3361,38): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3415,34): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3444,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3492,32): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3527,30): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3572,34): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3640,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3679,38): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3689,41): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3746,34): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3794,30): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3837,34): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3934,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(3979,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4027,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4083,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4129,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4162,30): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4193,38): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4236,38): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4297,35): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4326,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4345,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4390,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4409,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4512,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4585,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4611,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4645,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4667,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4705,30): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4741,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4769,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
